Checklist Item,JAMA Item Number,Requirement,Current Score (1-5),Evidence Location,Gap Description,Remediation Action,Owner,Target Date,Status
Efforts towards Information Security,1,Use JAMA checklist for self-assessment and continuous improvement,4,SIP-JAMA-01.1; SIP-ISP-001,"Initial assessment only; no historical baseline","Complete first full self-assessment cycle; record baseline scores; schedule annual re-assessments",CISO/IT Head,,Open
Information Security Org - Normal,2,Define roles/responsibilities and review org chart annually,3,SIP-SOS-002,"Annual org-chart review not yet conducted","Schedule and conduct first annual org-chart/security committee review",CISO/IT Head,,Open
Information Security Org - Incident,3,CSIRT defined; contractual cooperation with external parties,3,SIP-SOS-002; Vendor files,"Contractual incident cooperation clauses not reviewed annually","Review and update Sophos/ISP contracts to include incident cooperation clauses",CISO/IT Head,,Open
Response criteria for incidents,4,Procedures for detection, initial response, investigation, recovery,4,SIP-IR-003,"Tabletop/exercise not executed yet","Conduct tabletop incident response exercise and document results",CSIRT Commander,,Open
Education & Training,5,Security awareness and incident response training program,3,SIP-TRN-007,"Training not yet delivered; no completion records","Run e-learning, phishing simulation; collect completion records and metrics",HR + IT,,Open
Proper Management of IT Assets,6,Maintain CMDB of servers, endpoints, network devices and OS support status,3,SIP-AM-004; CMDB (pending),"CMDB incomplete: OS versions, EOL, AD computer mapping missing","Populate CMDB with all 3 servers, ~90 endpoints, Cisco, Sophos; validate OS/support status",IT Operations,,Open
Risk Response,7,Map critical assets and create system-relationship diagrams,3,SIP-ISP-001,"No formal system-relationship diagram or department asset listing","Create system-relationship diagram and BIA for critical services; document departmental assets",CISO/IT Head; IT Ops,,Open
Understanding External Connections,8,Network and data-flow diagrams; monitor inter-org communications,3,SIP-NET-006,"Data flow diagram missing; external traffic monitoring not documented","Create network and data-flow diagrams; configure Sophos monitoring and logging for external connections",IT Operations,,Open
Backup of Important Data,9,Backups protected against ransomware and stored off endpoints,3,SIP-BR-005; Server Closet,"Ransomware-specific protections (immutability, separate creds) not confirmed","Implement backup immutability/WORM where possible; enforce separate backup admin credentials; test backup isolation",Backup Admin; IT Ops,,Open
Data & System Restoration,10,Documented restoration procedures and regular restore tests,3,SIP-BR-005,"No restore tests executed yet","Execute quarterly restore tests for Web/App/File/AD; document MTTR and issues",IT Operations,,Open
Alternative measures for downtime,11,Alternative/manual processes and tested failover for critical systems,3,SIP-ISP-001,"Manual workaround procedures incomplete; RF failover not tested","Document manual procedures for AD and web restores; test Fiber→RF failover and record results",IT Operations,,Open
Additional: Sophos Configuration,NA,Sophos firewall and endpoint configuration export and update history,3,Sophos Central export pending,"Rulebase export and update history not provided","Export Sophos rulebase, IDS/IPS logs, update history and attach to evidence index",IT Operations; Sophos Admin,,Open
Additional: Active Directory Hardening,NA,AD security configuration, service account handling, and audit logging,3,SIP-AM-004; AD configs,"Service account inventory and privileged account handling not fully documented","Inventory AD service accounts; enforce privileged access controls; enable and archive AD audit logs",IT Operations; AD Admin,,Open
Additional: Patch Management,NA,Patch schedule and compliance reporting for ~90 endpoints and servers,3,SIP-AM-004,"Weekly endpoint patch status process exists but coverage report pending","Produce weekly patch compliance report; remediate non-compliant endpoints",IT Operations,,Open
